"Date","Open","High","Low","Close","SharesTraded","Turnover(Rs.Cr)"
"01-Jan-2018","10531.70","10537.85","10423.10","10435.55","134532090","7546.56"
"02-Jan-2018","10477.55","10495.20","10404.65","10442.20","158092430","8665.47"
"03-Jan-2018","10482.65","10503.60","10429.55","10443.20","172516859","9541.60"
"04-Jan-2018","10469.40","10513.00","10441.45","10504.80","180257392","9561.95"
"05-Jan-2018","10534.25","10566.10","10520.10","10558.85","186469717","10306.22"
"08-Jan-2018","10591.70","10631.20","10588.55","10623.60","174181231","9907.27"
"09-Jan-2018","10645.10","10659.15","10603.60","10637.00","211291563","10733.37"
"10-Jan-2018","10652.05","10655.50","10592.70","10632.20","181900014","9720.65"
"11-Jan-2018","10637.05","10664.60","10612.35","10651.20","158630055","9635.01"
"12-Jan-2018","10682.55","10690.40","10597.10","10681.25","180592153","11005.12"
